NOME;MARCA;EXPOSITOR;CATEGORIA;VALOR;FICHA TÉCNICA;FOTO;;;
VARA CARRETILHA ST. CROIX LEGEND ELITE 75TH ANNIVERSARY;AQUABRAZIL;ST. CROIX RODS;VARA PARA CARRETILHA;R$ 5.180,00;7' (PÉS), MEDIUM (POWER), FAST (ACTION), 10-17LBS, CASTING 1/4-5/8 OZ., 1 PARTE, BLANK CARBONO SC V (COR FOREST GREEN PEARL), PASSADORES DE TITANIUM / SILICON NITRIDE. TECNOLOGIAS ST. CROIX IPC, ART, TET, FRS E HANDCRAFTED (FEITO A MÃO NOS USA);CROIX-LEGEND.JPG;;;
REVOLTAGE RV II-S68MH+ 14LB;GRUPO WAKOKU / FLÓRIDA MARINE;JACKALL;VARA PARA CARRETILHA;R$ 5.532,00;A VARA QUE VAI POTENCIALIZAR O SEU ESTILO DE PESCA! CADA MODELOS DESSA NOVA SÉRIE POSSUI UMA CARACTERÍSTICA ÚNICA PARA PROPORCIONAR O MÁXIMO DESEMPENHO NO TRABALHO DE CADA TIPO DE ISCA ARTIFICIAL. PARA ISSO, A REVOLTAGE USOU UM DESIGN SIMPLES E SÓBRIO, MAS COM MATERIAIS MODERNOS E COMPONENTES SOFISTICADOS. O BLANK, QUE É ALMA DA VARA, FOI DESENVOLVIDO COM TECNOLOGIA DE PONTA E CADA PARTE DO EQUIPAMENTO RECEBEU UM MATERIAL ESPECÍFICO, DE ACORDO COM CADA ESPECIFICAÇÃO. ISSO, ALÉM DE REDUZIR O PESO, MELHORA A SENSIBILIDADE, POTENCIALIZA A RESISTÊNCIA E CRIA A AÇÃO PERFEITA PARA ATENDER AS NECESSIDADES DE CADA MODALIDADE DE PESCA. OS BLANKS USAM O MAIS MODERNO CARBONO DA TORAY EM CONJUNTO COM A NANOALLOY, UMA RESINA DE APLICAÇÕES AEROESPACIAIS. ALÉM DO BLANK, UM DOS DESTAQUES É O CARBON END GRIP QUE AJUDAM A AUMENTAR A SENSIBILIDADE. OS PASSADORES SÉRIE K COM ANEL SIC SÃO DA FUJI E O CABO É DE CORTIÇA PREMIUM 4A;REVOLTAGE.JPG;;;
DAY´S 360 SÉRIE BRASIL 510M - 16LB;GRUPO WAKOKU / FLÓRIDA MARINE;MAJOR CRAFT;VARA PARA CARRETILHA;R$ 3.702,00;ALTA PERFORMANCE A SERVIÇO DO PESCADOR! JÁ É POSSÍVEL SENTIR A ALTA PERFORMANCE DA DAY?S 360 EM MODELOS DE 5?10? PARA LINHAS DE ATÉ 16 LB E 6 PÉS DE 20LB OU 25LB. OS NOVOS MODELOS UTILIZAM COMPONENTES SOFISTICADOS, ALIADOS A TECNOLOGIA DE PONTA, COMO O SUPER BLANK FEITO COM O CARBONO TORAY T1100G QUE EMPREGA NANO TECNOLOGIA PARA CONTROLAR A ESTRUTURA DA FIBRA, PROPORCIONANDO ALTA RESISTÊNCIA. ESSE MATERIAL PASSA PELO PROCESSO R360 STRUCTURE QUE POSICIONA AS MANTAS DE CARBONO EM DIREÇÕES DIFERENTES: VERTICAL, HORIZONTAL E DIAGONAL CRUZADA (DIREITA E ESQUERDA). ISSO RESULTA EM UM BLANK EXTREMAMENTE LEVE E POTENTE. O CABO É FEITO DE EVA DE ALTA DENSIDADE. O REEL SEAT É O ECS E PASSADORES SIC TITÂNIO - AMBOS DA FUJI. AGORA, SOME TUDO E VOCÊ TERÁ UMA DAS MELHORES VARAS DO MERCADO MUNDIAL, AGORA NO BRASIL, MUITO FORTE, LEVE E QUE PROPORCIONA EXTREMA SENSIBILIDADE.;510M.JPG;;;
REVOLTAGE C64ML-ST 12LB;GRUPO WAKOKU / FLÓRIDA MARINE;JACKALL;VARA PARA CARRETILHA;R$ 5.532,00;A VARA QUE VAI POTENCIALIZAR O SEU ESTILO DE PESCA! CADA MODELOS DESSA NOVA SÉRIE POSSUI UMA CARACTERÍSTICA ÚNICA PARA PROPORCIONAR O MÁXIMO DESEMPENHO NO TRABALHO DE CADA TIPO DE ISCA ARTIFICIAL. PARA ISSO, A REVOLTAGE USOU UM DESIGN SIMPLES E SÓBRIO, MAS COM MATERIAIS MODERNOS E COMPONENTES SOFISTICADOS. O BLANK, QUE É ALMA DA VARA, FOI DESENVOLVIDO COM TECNOLOGIA DE PONTA E CADA PARTE DO EQUIPAMENTO RECEBEU UM MATERIAL ESPECÍFICO, DE ACORDO COM CADA ESPECIFICAÇÃO. ISSO, ALÉM DE REDUZIR O PESO, MELHORA A SENSIBILIDADE, POTENCIALIZA A RESISTÊNCIA E CRIA A AÇÃO PERFEITA PARA ATENDER AS NECESSIDADES DE CADA MODALIDADE DE PESCA. OS BLANKS USAM O MAIS MODERNO CARBONO DA TORAY EM CONJUNTO COM A NANOALLOY, UMA RESINA DE APLICAÇÕES AEROESPACIAIS. ALÉM DO BLANK, UM DOS DESTAQUES É O CARBON END GRIP QUE AJUDAM A AUMENTAR A SENSIBILIDADE. OS PASSADORES SÉRIE K COM ANEL SIC SÃO DA FUJI E O CABO É DE CORTIÇA PREMIUM 4A.;C64ML.JPG;;;
ASSEGAI CASTING;KASTKING;KASTKING;VARA PARA CARRETILHA;R$;VARA PARA CARRETILHA (17 LIBRAS , 6,4 PÉS ) ELITE CARBON BLANKS E TECNOLOGIA NANO RESINA - NOSSOS NOVOS BLANKS ELITE CARBON PATENTEADOS OFERECEM O MÁXIMO EM POTÊNCIA, RESISTÊNCIA E SENSIBILIDADE COM UM BLANK DE GRAFITE SUPER ALTO;ASSEGAI.JPG;;;
LEGACY;MARINE;MARINE;VARA PARA CARRETILHA;R$ 819,00;BLANK: CARBONO TUBULAR 40TON (MT4000) CABO BIPARTIDO EM EVA + CARBONO REEL SEAT: CARBONO (FUJI TCH) PASSADORES: FUJI ALCONITE MODELO KW PONTEIRA: FUJI ALCONITE MODELO MN LGC-C581MLF LGC-C581MF LGC-C581MHF LGC-C601MLF LGC-C601MF LGC-C601MHF LGC-C661MHF LGC-C702HF;LEGACY.JPG;;;
VARA CALIFÓRNIA;STRIKER;STRIKER SPORTFISHING;VARA PARA CARRETILHA;R$ 310,22;VARA DE PESCA - COMPOSIÇÃO: CARBONO IM12 601- CARRETILHA, 6?0? - 1 PARTE - ARREMESSO 10 A 20 G, LINHA 10 - 17LB , POTÊNCIA MEDIA/PESADA, AÇÃO RÁPIDA, PASSADORES DE OXIDO DE ALUMÍNIO , PESO 105 G COM O INOVADOR E TECNOLÓGICO CARBONO IM12 EM SUA COMPOSIÇÃO, A VARA CALIFORNIA APRESENTA MAIOR FLEXIBILIDADE, RESISTÊNCIA E LEVEZA , PROPORCIONANDO AO PESCADOR A MAIS ALTA PERFORMANCE NA PESCA ESPORTIVA?.;CALIFORNIA.JPG;;;
VARA MOLINETE ST. CROIX MOJO BASS TRIGON;AQUABRAZIL;ST. CROIX RODS;VARA PARA MOLINETE;R$ 1.662,00;6?10? (PÉS), MEDIUM LIGHT (POWER), X-FAST (ACTION), 6-20LBS, CASTING 1/16-3/8 OZ., 1 PARTE, BLANK CARBONO SC III (COR TEQUILA SUNRISE), PASSADORES EM ÓXIDO DE ALUMÍNIO/AÇO INOX. TECNOLOGIAS ST. CROIX IPC, FRS, TRIGON DESIGN E HANDCRAFTED (FEITO A MÃO NOS USA);CROIX-MOJO.JPG;;;
VARA MOLINETE ST. CROIX BLACK BASS;AQUABRAZIL;ST. CROIX RODS;VARA PARA MOLINETE;R$ 1.740,00;6?8? (PÉS), MEDIUM (POWER), X-FAST (ACTION), 6-20LBS, CASTING 1/4-5/8 OZ., 1 PARTE, BLANK CARBONO SC III (COR TUNGSTEN GREY), PASSADORES EM ÓXIDO DE ALUMÍNIO. TECNOLOGIAS ST. CROIX IPC, FRS E HANDCRAFTED (FEITO A MÃO NOS USA);ST-CROIX.JPG;;;
DAY´S 360 610L;GRUPO WAKOKU / FLÓRIDA MARINE;MAJOR CRAFT;VARA PARA MOLINETE;R$ 4.032,00;SENSIBILIDADE EXTREMA! UM DOS DIFERENCIAIS DESTE MODELO É A ALTA SENSIBILIDADE TRANSMITIDA NAS PESCARIAS DE FUNDO. ISSO É RESULTADO DO USO DE COMPONENTES SOFISTICADOS, ALIADOS A TECNOLOGIA DE PONTA, COMO O SUPER BLANK FEITO COM O CARBONO TORAY T1100G QUE EMPREGA NANO TECNOLOGIA PARA CONTROLAR A ESTRUTURA DA FIBRA, PROPORCIONANDO ALTA RESISTÊNCIA. ESSE MATERIAL PASSA PELO PROCESSO R360 STRUCTURE QUE POSICIONA AS MANTAS DE CARBONO EM DIREÇÕES DIFERENTES: VERTICAL, HORIZONTAL E DIAGONAL CRUZADA (DIREITA E ESQUERDA). ISSO RESULTA EM UM BLANK EXTREMAMENTE LEVE E POTENTE. O CABO É FEITO DE EVA DE ALTA DENSIDADE. AGORA, SOME TUDO E VOCÊ TERÁ UMA DAS MELHORES VARAS DO MERCADO MUNDIAL, AGORA NO BRASIL, MUITO FORTE, LEVE E QUE PROPORCIONA EXTREMA SENSIBILIDADE.;610L.JPG;;;
KESTREL FINESSE SPINNING;KASTKING;KASTKING;VARA PARA MOLINETE;R$;"KASTKING KESTREL SPIN FINESSE SPINNING ROD 3 PEÇAS 6'8"" UL E KASTKING KESTREL SPINNING E ICE FISHING REEL 1000";KESTREL.JPG;;;
VENZA FUSION;MARINE;MARINE;VARA PARA MOLINETE;R$ 169,00;BLANK: FIBRA DE VÍDRO TUBULAR + PONTEIRA SÓLIDA INTEGRADA AO BLANK CABO: BIPARTIDO E INTEIRIÇO EM EVA REEL SEAT: MARINE PASSADORES E PONTEIRA: ÓXIDO DE ALUMÍNIO (RESISTENTES A MULTIFILAMENTOS) VNZF-S562MLM VNZF-S562MMHF VNZF-S601XHF VNZF-S601XXHF VNZF-S602MHF VNZF-S602HF VNZF-S662MHF VNZF-S662HF VNZF-S662XHF VNZF-S702MM VNZF-S702MHF VNZF-S702XHF;FUSION.JPG;;;
BONÉ 90UP CASUAL;90UP;BASS BOAT;VESTUÁRIO;R$ 129,00;MODELO DAD HAT POLIÉSTER E ALGODÃO TAMANHO ÚNICO MARCA REGISTRADA BASS BOAT E 90UP;90UP-C.JPG;;;
BONÉ 90UP ROSA;90UP;BASS BOAT;VESTUÁRIO;R$ 119,00;MODELO TRUCKER 100% POLIÉSTER TAMANHO ÚNICO MARCA REGISTRADA BASS BOAT E 90UP;90UP-R.JPG;;;
CHAPÉU MZ-171;ALBATROZ;ALBATROZ FISHING;VESTUÁRIO;R$ 107,00;"MATERIAL LEVE, TRANSPIRÁVEL E DE SECAGEM RÁPIDA; FABRICADO EM POLYESTE PONGEE; COM PROTEÇÃO UV; ACOMPANHA ITENS ADAPTÁVEIS; FITA PARA AMARRAR COM REGULAGEM; PROTETOR DE ROSTO; PROTETOR DE PESCOÇO E NUCA; DISPONÍVEL EM TRÊS CORES: ROSA | CHUMBO | CINZA";MZ171.JPG;;;
SAPATILHA AQURUN AZUL CLARO E VERDE ACQUA;AQURUN;AQURUN;VESTUÁRIO;R$ 159,90;SAPATILHAS ESPECIAIS PARA LOCAIS ÚMIDOS E MOLHADOS. AS SAPATILHAS SÃO ULTRA LEVES, FLEXÍVEIS E NÃO RETÉM ÁGUA OU AREIA. IDEAIS PARA ESPORTES AQUÁTICOS, PESCA E PRAIA.;AQURUN.JPG;;;
CAMISA FUSIONX BRK COM CAPUZ E PROTEÇÃO SOLAR UV50+ HOMOLOGADO;BRK;BRK FISHING;VESTUÁRIO;R$ 199,90;A FUSIONX DA BRK FISHING É MAIS QUE UMA CAMISA, É UM EQUIPAMENTO DE ALTA PERFORMANCE PARA PESCADORES EXIGENTES. ? XTECH PRO® ? TECIDO COM TOQUE GELADO, SECAGEM ULTRA RÁPIDA E CONFORTO TÉRMICO. ? PROTEÇÃO SOLAR UV50+ HOMOLOGADO ? BLOQUEIA 98% DOS RAIOS SOLARES. ? PUNHO COM LUVA ? PROTEÇÃO EXTRA PARA AS MÃOS. ? BANDANA E CAPUZ INTEGRADO ? VENTILAÇÃO ? DESIGN EXCLUSIVO ? 20 ESTAMPAS EXCLUSIVAS.;FUSIONX.JPG;;;
LOGO CAP;GRUPO WAKOKU / FLÓRIDA MARINE;JACKALL;VESTUÁRIO;R$ 442,00;O BONÉ MAIS MODERNO E CONFORTÁVEL DO MERCADO! É IMPRESSIONANTE A LEVEZA DESSA PEÇA QUE TEM COMO UM DOS DESTAQUES A ABA. ESTA PARTE É FEITA COM UMA ESTRUTURA EM FORMATO DE COLMEIA. ELE VEM COM LOGOTIPO EMBORRACHADO DISCRETO E ELEGANTE, MAS QUE POSSUI UMA FORTE PRESENÇA, CARACTERÍSTICA DA MARCA.;LOGO-CAP.JPG;;;
JIGGING GLOVES;GRUPO WAKOKU / FLÓRIDA MARINE;MAJOR CRAFT;VESTUÁRIO;R$ 280,00;LUVA PARA GRANDES DESAFIOS! AS NOVAS LUVAS DA MAJOR CRAFT LEVAM EM CONSIDERAÇÃO AS NECESSIDADES PARA A PESCARIA QUE EXIGEM GRANDES ESFORÇOS COMO O JIGGING OU ENFRENTAR AS GRANDES ESPÉCIES MARINHAS. O DORSO DA MÃO É CONFECCIONADO EM MALHA COM EXCELENTE ELASTICIDADE E RESPIRABILIDADE. A PALMA É FEITA DE COURO SINTÉTICO ANTIDERRAPANTE E RESISTENTE AO DESGASTE, PROPORCIONANDO EXCELENTE ADERÊNCIA. O DEDO INDICADOR E O POLEGAR, PONTO QUE GERALMENTE TOCA A LINHA, RECEBEM MATERIAL REFORÇADO. TEM AJUSTE QUE NÃO INTERFERE NO MOVIMENTO DO PULSO, É FABRICADA COM NÁILON EM TRÊS TAMANHOS E EM DUAS CORES: PRETA E AZUL.;JIGGING.JPG;;;
CALÇA STRECH;GRUPO WAKOKU / FLÓRIDA MARINE;BAIT;VESTUÁRIO;R$ 299,00;SUPER LEVE E EXTREMAMENTE CONFORTÁVEL! A NOSSA CALÇA STRETCH É FEITA COM TECIDO COMPOSTO POR 92% DE POLIAMIDA E 8% DE ELASTANO, CERTIFICADA INTERNACIONALMENTE PELO SELO OEKO TEX STANDARD 100 EM ZURICH (SUÍÇA), GARANTINDO AUSÊNCIA DE SUBSTÂNCIAS NOCIVAS À PELE HUMANA, ESPECIALMENTE EM PRODUTOS DESTINADOS A BEBÊS E CRIANÇAS ATÉ 36 MESES. ESTA CALÇA PROPORCIONAM EXTREMO CONFORTO, FACILITANDO OS MOVIMENTOS. SEUS ZÍPERES LATERAIS PERMITEM VESTIR SEM REMOVER O CALÇADO E PODEM SER ENROLADAS ATÉ O JOELHO EM DIAS MAIS QUENTES. POSSUI BOLSO LATERAL E UM BOLSO COM ZÍPER PARA CARREGAR APENAS O NECESSÁRIO, E O REVESTIMENTO INTERNO DO BOLSO É EM POLIAMIDA.;STRECH.JPG;;;
CAMISA CLASSIC PLUS;MAR NEGRO;MAR NEGRO;VESTUÁRIO;R$ 299,00;ESSA SOFISTICADA CAMISA DE BOTÃO DA MAR NEGRO ASSINADA POR FERNANDO FISHER FOI DESENVOLVIDA PARA UM PÚBLICO MAIS EXIGENTE QUE ALÉM DE PROTEÇÃO , QUER UM ESTILO ÚNICO. FEITA NO TECIDO DE POLIAMIDA COM ELASTANO EXTREMAMENTE CONFORTÁVEL E GELADO, ELA VAI TE SURPREENDER;CLASSIC.JPG;;;
CALÇA FLEX;MAR NEGRO;MAR NEGRO;VESTUÁRIO;R$ 129,00;DESENVOLVIDA EM TECIDO DE POLIÉSTER COM ELASTANO E PROTEÇÃO 50+UV ESSE MAIS NOVO LANÇAMENTO DA MAR NEGRO É MUITO VERSÁTIL, TANTO PARA PRÁTICA DA PESCA QUANTO PRO SEU DIA A DIA! POSSUI 4 BOLSOS E CÓS AJUSTÁVEL COM CORDÃO. NÃO VIRA BERMUDA!;FLEX.JPG;;;
X PROTECTION 360;MAR NEGRO;MAR NEGRO;VESTUÁRIO;R$ 159,00;CAPUZ, BUFF, PUNHO LUVA, TOQUE GELADO 50 DE PROTEÇÃO UV SECAGEM RÁPIDA COSTURA REFORÇADA TECIDO 90% POLIAMIDA 10% ELASTANO PESO/GRAMATURA 150GM² CONSTRUÇÃO 78/68 TRAMA DIAGONAL;PROTECTION.JPG;;;
NANOTECH POLYAMIDA TECHNOLOGY;PRESA VIVA;PRESA VIVA;VESTUÁRIO;R$;A TECNOLOGIA NANO TECH POSSUI 80% DE POLIAMIDA E 20% ELASTANO, GARANTINDO DURABILIDADE E ELASTICIDADE SUPERIORES. POSSUI CAPUZ E PASSANTE PARA OS DEDOS, COM PROTEÇÃO SOLAR 50+ FPS>;NANOTECH.JPG;;;
GRAPHICLINE POLYAMIDE TECHNOLOGY;PRESA VIVA;PRESA VIVA;VESTUÁRIO;R$;A TECNOLOGIA DAS CAMISAS GRAPHICLINE SE MANTÊM AOS DA NANO TECH COM PROTEÇÃO UV 50+ FPS, COMBINANDO 80% DE POLIAMIDA E 20% DE ELASTANO, DURABILIDADE E ELASTICIDADE. A CAMISA DE MANGA LONGA OFERECE CONFORTO, MOBILIDADE E OPÇÕES COM CAPUZ E PASSANTE DE DEDO, COM O DIFERENCIAL DE TEXTURAS VISUAIS EXCLUSIVAS NO TECIDO;GRAPHICLINE.JPG;;;
DRYFLEX TECHNOLOGY -;PRESA VIVA;PRESA VIVA;VESTUÁRIO;R$;NOSSA NOVA TECNOLOGIA DRY FLEX COMBINA 92% DE POLYESTER E 8% DE ELASTANO, OFERECENDO MAXIMA LEVEZA, ELASTICIDADE E CONFORTO. IDEAL PARA ATIVIDADES AO AR LIBRE, O TECIDO PROPORCIONA PROTEÇÃO SOLAR 50+ FPS, MANTENDO VOCÊ PROTEGIDO NOS DIAS MAIS INTENSOS. MOBILIDADE, RESPIRABILIDADE E DESEMPENHO EM UM SÓ PRODUTO. CONTROLE TÉRMICO, ZIPER,SECAGEM RÁPIDA;DRYFLEX.JPG;;;
